Number,Question,SA,A,N,D,SD,NA,Median,SW 25,SW 50,SW 75,UW 25,UW 50,UW 75
4,I had a strong desire to take this course.,16,15,2,1,0,0,4.43,3.75,4.19,4.64,3.6,4.25,4.67
891,"As compared with other courses of equal credit, the workload for this course was:",1,1,10,15,7,0,2.17,2.83,3.13,3.42,,,
1631,This course advanced my understanding of the subject matter.,20,12,2,0,0,0,4.65,4.1,4.41,4.75,,,
1632,My interest in the subject has increased because of this course.,15,14,4,1,0,0,4.36,3.75,4.19,4.63,,,
1633,I knew what was expected of me in this course.,9,18,7,0,0,0,4.06,4,4.33,4.67,,,
230,The instructor seemed well prepared for class meetings.,24,9,0,0,0,0,4.81,4.5,4.8,4.92,,,
199,The instructor explained material clearly.,13,8,7,4,1,0,4.06,4.25,4.67,4.86,,,
217,The instructor treated students with respect.,24,5,3,1,0,0,4.81,4.69,4.86,4.95,,,
1,"Overall, this was an excellent course.",10,14,8,1,0,0,4.04,3.88,4.31,4.71,3.75,4.23,4.64
2,"Overall, the instructor was an excellent teacher.",14,13,4,2,0,0,4.31,4.33,4.73,4.9,4.31,4.7,4.87
3,I learned a great deal from this course.,18,14,2,0,0,0,4.56,4,4.36,4.71,3.83,4.25,4.76
84,The instructor clearly explained expectations for ethical behavior in this class. ,20,8,4,0,0,1,4.7,4.5,4.75,4.89,,,
85,I believe that my fellow students behaved ethically in this class.,20,14,0,0,0,0,4.65,4.42,4.67,4.88,,,
892,Students felt comfortable asking questions.,18,11,3,2,0,0,4.56,4.28,4.63,4.83,,,
893,Graded assignments reflected the material covered.,13,11,4,5,1,0,4.14,4.17,4.5,4.75,,,
894,The grades in this course were fairly determined.,11,10,9,1,0,2,4.05,4.08,4.42,4.71,,,
895,Students' difficulty with the material was recognized.,14,9,6,5,0,0,4.17,3.95,4.25,4.58,,,
896,"My expected grade in this course is (SA=A, A=B, N=C, D=D, SD=E).",23,9,2,0,0,0,4.76,4.42,4.75,4.89,,,
897,The course requirements were clearly defined.,15,14,3,2,0,0,4.36,4.17,4.5,4.75,,,
898,The instructor presented material clearly in lectures/discussions.,11,11,7,3,1,0,4,4.39,4.72,4.88,,,
